country,year,coverage_limit_usd,fund_balance_usd,insured_deposits_usd,fund_adequacy_ratio,note
Nigeria,2010,1331,1967531603,8720159681,0.2256,
Nigeria,2011,3250,2319511244,6512023918,0.3562,
Nigeria,2012,3175,2699746032,14667492063,0.1841,
Nigeria,2013,3178,3229673892,8134002924,0.3971,
Nigeria,2014,3154,3873604541,8677325765,0.4464,
Nigeria,2015,2598,3770421950,7976927874,0.4727,
Nigeria,2016,1972,3265967099,5554104698,0.588,
Nigeria,2017,1635,3123646947,5236011642,0.5966,
Nigeria,2018,1634,3578247517,6431651856,0.5563,
Nigeria,2019,1629,3914179591,6861657761,0.5704,
Nigeria,2020,1393,3826119673,6230177531,0.6141,
Nigeria,2021,1246,3791250156,6424330051,0.5901,
Nigeria,2022,1174,4138081600,6917226161,0.5982,
Nigeria,2023,775,3110122600,6703389699,0.464,
Nigeria,2024,3381,1541180687,3245501937,0.4749,IADI 2024 figure pre-dates NDIC coverage limit revision. Diverges from local calculation. Flag in analysis.
