country,year,coverage_limit_usd,fund_balance_usd,insured_deposits_usd,fund_adequacy_ratio,note
Brazil,2010,39773,17045454545,375000000000,0.0455,
Brazil,2011,41667,20833333333,460714285714,0.0452,
Brazil,2012,35897,21025641026,456923076923,0.046,
Brazil,2013,115741,24074074074,970185185185,0.0248,
Brazil,2014,106383,26382978723,1005191489362,0.0262,
Brazil,2015,75075,21921921922,783843843844,0.028,
Brazil,2016,71633,23782234957,810085959885,0.0294,
Brazil,2017,78370,29153605016,936802507837,0.0311,
Brazil,2018,68493,28219178082,869698630137,0.0324,
Brazil,2019,63452,28934010152,863908629442,0.0335,
Brazil,2020,46296,23148148148,711851851852,0.0325,
Brazil,2021,46296,25555555556,792222222222,0.0323,
Brazil,2022,48450,28875968992,889147286822,0.0325,
Brazil,2023,50302,32394366197,985513078471,0.0329,
Brazil,2024,46296,25370370370,975925925926,0.026,
Canada,2010,97100,2136200000,551528000000,0.0039,
Canada,2011,101200,2530000000,597080000000,0.0042,
Canada,2012,100100,2802800000,613613000000,0.0046,
Canada,2013,97100,3010100000,619498000000,0.0049,
Canada,2014,90600,3080400000,602490000000,0.0051,
Canada,2015,78300,2897100000,542619000000,0.0053,
Canada,2016,75500,2982250000,553415000000,0.0054,
Canada,2017,80000,3360000000,619200000000,0.0054,
Canada,2018,77200,3667000000,640760000000,0.0057,
Canada,2019,75400,4033900000,669552000000,0.006,
Canada,2020,74600,4476000000,723620000000,0.0062,
Canada,2021,79800,5426400000,845880000000,0.0064,
Canada,2022,76900,5844400000,868970000000,0.0067,
Canada,2023,74100,6150300000,881790000000,0.007,
Canada,2024,73300,6670300000,909653000000,0.0073,
India,2010,2188,4376367615,207877461707,0.0211,
India,2011,2141,5139186296,246252676660,0.0209,
India,2012,1873,5243445693,258426966292,0.0203,
India,2013,1664,5490848586,274542429285,0.02,
India,2014,1613,6290322581,314516129032,0.02,
India,2015,1558,7165109034,350467289720,0.0204,
India,2016,1504,8120300752,383458646617,0.0212,
India,2017,1536,9831029186,445468509985,0.0221,
India,2018,1475,11209439528,486725663717,0.023,
India,2019,1429,12714285714,535714285714,0.0237,
India,2020,6748,14170040486,877192982456,0.0162,
India,2021,6702,16756032172,1005361930295,0.0167,
India,2022,6258,18773466834,1026282853567,0.0183,
India,2023,5981,20933014354,1052631578947,0.0199,
India,2024,5974,23655913978,1123058542413,0.0211,
Indonesia,2010,220022,3410341034,155891089109,0.0219,
Indonesia,2011,228050,4446978335,183826681870,0.0242,
Indonesia,2012,213061,5113454778,184743794610,0.0277,
Indonesia,2013,168563,4972608512,164208175306,0.0303,
Indonesia,2014,160772,5627009646,166109324759,0.0339,
Indonesia,2015,144980,5944182675,152807538963,0.0389,
Indonesia,2016,148854,7070556713,171860672819,0.0411,
Indonesia,2017,147623,8119279598,184572630647,0.044,
Indonesia,2018,140479,8850179111,180768420313,0.049,
Indonesia,2019,143875,10287029710,194575929789,0.0529,
Indonesia,2020,141794,11485288905,210932293513,0.0545,
Indonesia,2021,140164,12754923260,219393790735,0.0581,
Indonesia,2022,127137,12904456169,204843938720,0.063,
Indonesia,2023,127405,14269333673,211681105873,0.0674,
Indonesia,2024,124224,15403726708,212422360248,0.0725,
Japan,2010,113895,1560364465,7403189066059,0.0002,
Japan,2011,125471,5018820577,8281053952321,0.0006,
Japan,2012,125313,9147869674,8458646616541,0.0011,
Japan,2013,102459,11270491803,7069672131148,0.0016,
Japan,2014,94607,14664143803,6669820245979,0.0022,
Japan,2015,82645,16528925620,5909090909091,0.0028,
Japan,2016,91912,22058823529,6709558823529,0.0033,
Japan,2017,89127,24955436720,6639928698752,0.0038,
Japan,2018,90580,28985507246,6884057971014,0.0042,
Japan,2019,91743,33027522936,7110091743119,0.0046,
Japan,2020,93633,37453183521,7584269662921,0.0049,
Japan,2021,91075,40983606557,7650273224044,0.0054,
Japan,2022,76046,37262357414,6501901140684,0.0057,
Japan,2023,71174,37722419929,6192170818505,0.0061,
Japan,2024,65876,37549407115,5830039525692,0.0064,
Malaysia,2010,18634,1242236025,60248447205,0.0206,
Malaysia,2011,81699,1797385621,254117647059,0.0071,
Malaysia,2012,80906,2265372168,274951456311,0.0082,
Malaysia,2013,79365,2730158730,294857142857,0.0093,
Malaysia,2014,76453,3119266055,312660550459,0.01,
Malaysia,2015,63939,3017902813,283580562660,0.0106,
Malaysia,2016,60241,3228915663,284530120482,0.0113,
Malaysia,2017,58140,3511627907,291348837209,0.0121,
Malaysia,2018,62035,4168734491,330521091811,0.0126,
Malaysia,2019,60386,4468599034,340869565217,0.0131,
Malaysia,2020,59524,4857142857,365142857143,0.0133,
Malaysia,2021,60386,5386473430,394782608696,0.0136,
Malaysia,2022,56818,5500000000,389454545455,0.0141,
Malaysia,2023,54466,5686274510,387450980392,0.0147,
Malaysia,2024,55928,6286353468,415570469799,0.0151,
Nigeria,2010,1331,1967531603,8720159681,0.2256,
Nigeria,2011,3250,2319511244,6512023918,0.3562,
Nigeria,2012,3175,2699746032,14667492063,0.1841,
Nigeria,2013,3178,3229673892,8134002924,0.3971,
Nigeria,2014,3154,3873604541,8677325765,0.4464,
Nigeria,2015,2598,3770421950,7976927874,0.4727,
Nigeria,2016,1972,3265967099,5554104698,0.588,
Nigeria,2017,1635,3123646947,5236011642,0.5966,
Nigeria,2018,1634,3578247517,6431651856,0.5563,
Nigeria,2019,1629,3914179591,6861657761,0.5704,
Nigeria,2020,1393,3826119673,6230177531,0.6141,
Nigeria,2021,1246,3791250156,6424330051,0.5901,
Nigeria,2022,1174,4138081600,6917226161,0.5982,
Nigeria,2023,775,3110122600,6703389699,0.464,
Nigeria,2024,3381,1541180687,3245501937,0.4749,IADI 2024 figure pre-dates NDIC coverage limit revision. Diverges from local calculation. Flag in analysis.
Philippines,2010,11086,1995565410,23059866962,0.0865,
Philippines,2011,11547,2424942263,27251732102,0.089,
Philippines,2012,11848,2962085308,31753554502,0.0933,
Philippines,2013,11792,3419811321,35849056604,0.0954,
Philippines,2014,11261,3716216216,38288288288,0.0971,
Philippines,2015,10989,4065934066,41318681319,0.0984,
Philippines,2016,10526,4210526316,43789473684,0.0962,
Philippines,2017,9921,4166666667,45634920635,0.0913,
Philippines,2018,9488,4079696395,48576850095,0.084,
Philippines,2019,9653,4150579151,52084942085,0.0797,
Philippines,2020,10081,4330645161,60524193548,0.0716,
Philippines,2021,10020,5010020040,62044088176,0.0807,
Philippines,2022,9174,5321100917,61100917431,0.0871,
Philippines,2023,8993,5935251799,62805755396,0.0945,
Philippines,2024,8850,6460176991,66109734513,0.0977,
South Korea,2010,43290,6926406926,1852813852814,0.0037,
South Korea,2011,45126,8393501805,2048736462094,0.0041,
South Korea,2012,44366,9494232476,2156166814552,0.0044,
South Korea,2013,45662,11232876712,2374429223744,0.0047,
South Korea,2014,47483,13295346629,2640075973409,0.005,
South Korea,2015,44209,13969938108,2617152961981,0.0053,
South Korea,2016,43066,15245478036,2695951765719,0.0057,
South Korea,2017,44248,17433628319,2929203539823,0.006,
South Korea,2018,45413,19800181653,3188010899183,0.0062,
South Korea,2019,42918,20600858369,3193133047210,0.0065,
South Korea,2020,42373,22288135593,3355932203390,0.0066,
South Korea,2021,43668,25065502183,3624454148472,0.0069,
South Korea,2022,38700,23916408669,3343653250774,0.0072,
