country,year,gdp_growth,inflation,exchange_rate,gdp_per_capita
Nigeria,2010,8.01,13.72,150.3,2203
Nigeria,2011,5.31,10.84,153.86,2543
Nigeria,2012,4.21,12.22,157.5,2753
Nigeria,2013,6.67,8.48,157.31,2971
Nigeria,2014,6.31,8.06,158.55,3203
Nigeria,2015,2.65,9.01,192.44,2731
Nigeria,2016,-1.62,15.68,253.49,2176
Nigeria,2017,0.81,16.52,305.79,1969
Nigeria,2018,1.93,12.09,306.08,2028
Nigeria,2019,2.21,11.4,306.92,2229
Nigeria,2020,-1.92,13.25,358.81,1997
Nigeria,2021,3.4,16.95,401.15,2065
Nigeria,2022,3.27,18.85,425.98,2184
Nigeria,2023,2.86,24.66,645.19,1481
Nigeria,2024,3.3,33.2,1478.97,940
