year,fund_balance_bn,insured_deposits_bn,claims_paid_bn,mean_premium_rate_pct,num_banks,total_deposits_tn,total_loans_tn,npl_tn,profit_before_tax_tn,tier1_capital_tn,npl_ratio_pct,npl_to_equity_pct,car_pct,liquidity_ratio_pct,loan_deposit_ratio_pct,roa_pct,roe_pct,gdp_growth,inflation,exchange_rate,gdp_per_capita,fund_adequacy_ratio,coverage_limit_usd,fund_balance_usd,insured_deposits_usd,iadi_avg_fund_adequacy,iadi_med_fund_adequacy,iadi_avg_coverage_usd,local_fund_adequacy_ratio,coverage_ratio,claims_intensity,premium_efficiency,fund_growth_rate,fund_adequacy_gap,iadi_reported_gap,gdp_growth_lag1,inflation_lag1,exchange_rate_lag1,fund_stress_flag
2010,295.72,1310.64,7.6,0.64,24,10.84,7.779,1.17,0.61,3.12,15.04,2.51,4.06,51.77,66.13,3.91,162.98,8.01,13.72,150.3,2203,0.2256,1331,1967531603,8720159681,0.0400785714285714,0.0215,64114.857142857145,0.2256,0.6042,0.0257,0.0064,,0.1855,0.0,,,,1
2011,356.88,1001.94,6.68,0.55,24,12.33,7.27,0.36,-0.06,1.93,4.95,17.13,17.71,69.29,55.95,0.04,0.28,5.31,10.84,153.86,2543,0.3562,3250,2319511244,6512023918,0.0492714285714285,0.0224,71173.35714285714,0.3562,1.278,0.0187,0.0055,20.6817,0.3069,0.0,8.01,13.72,150.3,1
2012,425.21,2310.13,6.82,0.52,21,14.39,8.03,0.28,0.45,2.32,3.51,14.34,18.07,68.01,54.29,2.62,22.2,4.21,12.22,157.5,2753,0.1841,3175,2699746032,14667492063,0.0382571428571428,0.02335,69459.78571428571,0.1841,1.1533,0.016,0.0052,19.1465,0.1458,0.0,5.31,10.84,153.86,1
2013,508.06,1279.56,6.82,0.5,21,16.77,10.73,0.32,0.48,2.75,3.23,12.33,17.18,50.63,59.96,2.15,19.14,6.67,8.48,157.31,2971,0.3971,3178,3229673892,8134002924,0.0531428571428571,0.0224,70048.14285714286,0.3971,1.0697,0.0134,0.005,19.4845,0.344,0.0,4.21,12.22,157.5,1
2014,614.16,1375.79,6.83,0.48,24,18.02,12.63,0.35,0.6,2.44,2.81,12.01,15.92,53.65,68.11,2.29,20.34,6.31,8.06,158.55,3203,0.4464,3154,3873604541,8677325765,0.0579571428571428,0.0231,67531.21428571429,0.4464,0.9847,0.0111,0.0048,20.8834,0.3884,0.0,6.67,8.48,157.31,1
2015,725.58,1535.08,6.8,0.4,22,17.51,13.33,0.65,0.63,2.78,4.88,12.79,17.66,48.63,73.76,2.34,19.78,2.65,9.01,192.44,2731,0.4727,2598,3770421950,7976927874,0.0613428571428571,0.0242,60671.42857142857,0.4727,0.9513,0.0094,0.004,18.1419,0.4114,0.0,6.31,8.06,158.55,0
2016,827.89,1407.91,6.8,0.43,22,18.54,16.26,2.08,0.44,2.65,12.8,43.84,14.78,43.93,87.29,1.48,12.56,-1.62,15.68,253.49,2176,0.588,1972,3265967099,5554104698,0.0707785714285714,0.0253,60852.0,0.588,0.9062,0.0082,0.0043,14.1004,0.5172,0.0,2.65,9.01,192.44,0
2017,955.18,1601.12,8.25,0.46,22,19.38,16.0,2.36,0.68,1.76,14.84,69.21,10.23,45.56,72.3,0.48,4.7,0.81,16.52,305.79,1969,0.5966,1635,3123646947,5236011642,0.0714357142857142,0.0266,61720.5,0.5966,0.8304,0.0086,0.0046,15.3752,0.5252,0.0,-1.62,15.68,253.49,0
2018,1095.23,1968.6,8.25,0.45,23,21.73,15.29,1.79,0.73,2.83,11.7,57.5,15.26,51.87,64.69,0.88,9.73,1.93,12.09,306.08,2028,0.5563,1634,3578247517,6431651856,0.0694714285714285,0.0277,60657.71428571428,0.5563,0.8057,0.0075,0.0045,14.6622,0.4868,0.0,0.81,16.52,305.79,0
2019,1201.34,2105.98,8.26,0.46,23,24.09,16.54,1.06,0.88,2.91,6.06,32.97,14.54,45.45,68.68,0.37,0.07,2.21,11.4,306.92,2229,0.5704,1629,3914179591,6861657761,0.0713,0.0286,60161.07142857143,0.5704,0.7308,0.0069,0.0046,9.6884,0.4991,0.0,1.93,12.09,306.08,0
