year,fund_balance_bn,insured_deposits_bn,claims_paid_bn,mean_premium_rate_pct,num_banks,npl_ratio_pct,car_pct,liquidity_ratio_pct,roa_pct,iadi_fund_adequacy_ratio,iadi_coverage_limit_usd,gdp_growth,inflation,exchange_rate,gdp_per_capita
2010,295.72,1310.64,7.6,0.64,24,15.04,4.06,51.77,3.91,0.2256,1331,8.01,13.72,150.3,2203
2011,356.88,1001.94,6.68,0.55,24,4.95,17.71,69.29,0.04,0.3562,3250,5.31,10.84,153.86,2543
2012,425.21,2310.13,6.82,0.52,21,3.51,18.07,68.01,2.62,0.1841,3175,4.21,12.22,157.5,2753
2013,508.06,1279.56,6.82,0.5,21,3.23,17.18,50.63,2.15,0.3971,3178,6.67,8.48,157.31,2971
2014,614.16,1375.79,6.83,0.48,24,2.81,15.92,53.65,2.29,0.4464,3154,6.31,8.06,158.55,3203
2015,725.58,1535.08,6.8,0.4,22,4.88,17.66,48.63,2.34,0.4727,2598,2.65,9.01,192.44,2731
2016,827.89,1407.91,6.8,0.43,22,12.8,14.78,43.93,1.48,0.588,1972,-1.62,15.68,253.49,2176
2017,955.18,1601.12,8.25,0.46,22,14.84,10.23,45.56,0.48,0.5966,1635,0.81,16.52,305.79,1969
2018,1095.23,1968.6,8.25,0.45,23,11.7,15.26,51.87,0.88,0.5563,1634,1.93,12.09,306.08,2028
2019,1201.34,2105.98,8.26,0.46,23,6.06,14.54,45.45,0.37,0.5704,1629,2.21,11.4,306.92,2229
2020,1372.85,2235.45,8.27,0.42,24,6.13,15.05,44.44,0.02,0.6141,1393,-1.92,13.25,358.81,1997
2021,1520.86,2577.12,8.27,0.41,24,4.94,14.53,41.33,1.4,0.5901,1246,3.4,16.95,401.15,2065
2022,1762.74,2946.6,8.28,0.4,24,4.21,13.76,44.12,1.9,0.5982,1174,3.27,18.85,425.98,2184
2023,2006.62,4324.96,8.28,0.4,26,4.07,13.13,43.98,3.15,0.464,775,2.86,24.66,645.19,1481
2024,2279.36,25263.0,63.21,0.41,26,4.5,15.25,49.96,3.49,0.4749,3381,3.3,33.2,1478.97,940
