year,fund_balance_bn,insured_deposits_bn,claims_paid_bn,mean_premium_rate_pct,num_banks,total_deposits_tn,total_loans_tn,npl_tn,profit_before_tax_tn,tier1_capital_tn,npl_ratio_pct,npl_to_equity_pct,car_pct,liquidity_ratio_pct,loan_deposit_ratio_pct,roa_pct,roe_pct,note,gdp_growth,inflation,exchange_rate,gdp_per_capita
2010,295.72,1310.64,7.6,0.64,24,10.84,7.779,1.17,0.61,3.12,15.04,2.51,4.06,51.77,66.13,3.91,162.98,,8.01,13.72,150.3,2203
2011,356.88,1001.94,6.68,0.55,24,12.33,7.27,0.36,-0.06,1.93,4.95,17.13,17.71,69.29,55.95,0.04,0.28,,5.31,10.84,153.86,2543
2012,425.21,2310.13,6.82,0.52,21,14.39,8.03,0.28,0.45,2.32,3.51,14.34,18.07,68.01,54.29,2.62,22.2,,4.21,12.22,157.5,2753
2013,508.06,1279.56,6.82,0.5,21,16.77,10.73,0.32,0.48,2.75,3.23,12.33,17.18,50.63,59.96,2.15,19.14,,6.67,8.48,157.31,2971
2014,614.16,1375.79,6.83,0.48,24,18.02,12.63,0.35,0.6,2.44,2.81,12.01,15.92,53.65,68.11,2.29,20.34,,6.31,8.06,158.55,3203
2015,725.58,1535.08,6.8,0.4,22,17.51,13.33,0.65,0.63,2.78,4.88,12.79,17.66,48.63,73.76,2.34,19.78,,2.65,9.01,192.44,2731
2016,827.89,1407.91,6.8,0.43,22,18.54,16.26,2.08,0.44,2.65,12.8,43.84,14.78,43.93,87.29,1.48,12.56,,-1.62,15.68,253.49,2176
2017,955.18,1601.12,8.25,0.46,22,19.38,16.0,2.36,0.68,1.76,14.84,69.21,10.23,45.56,72.3,0.48,4.7,,0.81,16.52,305.79,1969
2018,1095.23,1968.6,8.25,0.45,23,21.73,15.29,1.79,0.73,2.83,11.7,57.5,15.26,51.87,64.69,0.88,9.73,,1.93,12.09,306.08,2028
2019,1201.34,2105.98,8.26,0.46,23,24.09,16.54,1.06,0.88,2.91,6.06,32.97,14.54,45.45,68.68,0.37,0.07,,2.21,11.4,306.92,2229
2020,1372.85,2235.45,8.27,0.42,24,32.11,20.37,1.25,0.89,3.19,6.13,35.61,15.05,44.44,59.56,0.02,0.21,,-1.92,13.25,358.81,1997
2021,1520.86,2577.12,8.27,0.41,24,38.4,24.57,1.22,0.81,3.6,4.94,4.94,14.53,41.33,54.16,1.4,17.2,,3.4,16.95,401.15,2065
2022,1762.74,2946.6,8.28,0.4,24,45.5,29.7,1.3,1.05,3.9,4.21,29.39,13.76,44.12,65.3,1.9,23.8,,3.27,18.85,425.98,2184
2023,2006.62,4324.96,8.28,0.4,26,71.58,45.43,1.849,29.84,4.8,4.07,37.52,13.13,43.98,63.48,3.15,49.13,,2.86,24.66,645.19,1481
2024,2279.36,25263.0,63.21,0.41,26,99.62,59.73,2.688,52.64,9.271,4.5,29.17,15.25,49.96,60.32,3.49,56.14,"2024 spike: Naira devaluation (₦1479/USD) + NDIC coverage limit revision.
Local FAR = 0.09. IADI-reported FAR = 0.4749 (mid-year snapshot, pre-revision).
Use both values in analysis — the gap is the story.",3.3,33.2,1478.97,940
