country,year,gdp_growth,inflation,exchange_rate,gdp_per_capita
Brazil,2010,7.53,5.04,1.76,11286
Brazil,2011,4.02,6.64,1.67,13245
Brazil,2012,1.92,5.4,1.95,12350
Brazil,2013,3.0,6.2,2.16,12264
Brazil,2014,0.5,6.33,2.35,12095
Brazil,2015,-3.55,9.02,3.33,8699
Brazil,2016,-3.28,8.74,3.48,8734
Brazil,2017,1.32,3.45,3.19,10020
Brazil,2018,1.78,3.68,3.65,9082
Brazil,2019,1.41,3.73,3.94,8717
Brazil,2020,-3.88,3.21,5.4,6797
Brazil,2021,4.6,8.3,5.4,7518
Brazil,2022,2.9,9.28,5.16,9076
Brazil,2023,2.91,4.62,4.97,8917
Brazil,2024,3.2,4.38,5.4,9000
Canada,2010,3.08,1.78,1.03,47448
Canada,2011,3.12,2.91,0.99,52087
Canada,2012,1.75,1.52,1.0,52441
Canada,2013,2.51,0.94,1.03,52494
Canada,2014,2.86,1.91,1.11,50343
Canada,2015,0.68,1.13,1.28,43595
Canada,2016,1.02,1.43,1.32,42360
Canada,2017,3.05,1.6,1.3,45141
Canada,2018,2.38,2.27,1.3,46306
Canada,2019,1.93,1.95,1.33,46213
Canada,2020,-5.11,0.72,1.34,43278
Canada,2021,5.03,3.4,1.25,52750
Canada,2022,3.37,6.8,1.3,55522
Canada,2023,1.15,3.88,1.35,53244
Canada,2024,1.1,2.33,1.37,55700
India,2010,8.5,11.99,45.73,1345
India,2011,5.24,8.86,46.67,1461
India,2012,5.46,9.3,53.44,1449
India,2013,6.39,10.91,60.08,1455
India,2014,7.41,6.37,62.0,1573
India,2015,8.0,5.88,64.16,1607
India,2016,8.26,4.95,67.19,1732
India,2017,6.8,2.49,65.12,1978
India,2018,6.53,4.86,68.39,2051
India,2019,6.45,3.73,70.42,2097
India,2020,-5.83,6.62,74.1,1928
India,2021,9.05,5.13,74.57,2261
India,2022,7.24,6.7,78.6,2399
India,2023,8.15,5.65,82.58,2612
India,2024,6.5,4.68,83.7,2809
Indonesia,2010,6.22,5.13,9090.0,3122
Indonesia,2011,6.17,5.36,8770.0,3641
Indonesia,2012,6.03,4.28,9387.0,3592
Indonesia,2013,5.56,6.41,10461.0,3624
Indonesia,2014,5.01,6.41,11878.0,3878
Indonesia,2015,4.88,6.36,13389.0,3370
Indonesia,2016,5.03,3.52,13308.0,3607
Indonesia,2017,5.07,3.81,13381.0,3838
Indonesia,2018,5.17,3.2,14237.0,3893
Indonesia,2019,5.02,2.82,13901.0,4174
Indonesia,2020,-2.07,1.92,14582.0,3872
Indonesia,2021,3.7,1.57,14308.0,4292
Indonesia,2022,5.31,4.21,14849.0,4784
Indonesia,2023,5.04,3.63,15236.0,4919
Indonesia,2024,5.0,2.52,15900.0,4917
Japan,2010,4.1,-0.72,87.78,44507
Japan,2011,-0.13,-0.27,79.72,48168
Japan,2012,1.5,-0.06,79.79,48615
Japan,2013,2.0,0.34,97.6,38633
Japan,2014,0.4,2.76,105.74,38122
Japan,2015,1.56,0.79,121.02,34525
Japan,2016,0.75,-0.12,108.79,38760
Japan,2017,1.71,0.47,112.17,38443
Japan,2018,0.62,0.99,110.44,39344
Japan,2019,-0.43,0.48,109.02,40247
Japan,2020,-4.1,0.02,106.79,40146
Japan,2021,2.1,-0.23,109.77,49938
Japan,2022,1.0,2.5,131.5,33815
Japan,2023,1.87,3.27,140.49,33875
Japan,2024,-0.1,2.73,151.8,33835
Malaysia,2010,7.42,1.62,3.22,8902
Malaysia,2011,5.29,3.21,3.06,10381
Malaysia,2012,5.47,1.65,3.09,11015
Malaysia,2013,4.69,2.11,3.15,11008
Malaysia,2014,6.01,3.14,3.27,11184
Malaysia,2015,5.03,2.1,3.91,9672
