year,metric,ndic_value,iadi_avg,iadi_best,gap_to_iadi_avg,gap_to_best
2010,Fund Adequacy Ratio,0.2256,0.0401,0.2256,0.1855,0.0
2010,Coverage Ratio,0.6042,29.1034,5.0,-28.4992,4.3958
2010,Claims Intensity,0.0257,0.05,0.01,-0.0243,0.0157
2011,Fund Adequacy Ratio,0.3562,0.0493,0.3562,0.3069,0.0
2011,Coverage Ratio,1.278,27.988,5.0,-26.71,3.722
2011,Claims Intensity,0.0187,0.05,0.01,-0.0313,0.0087
2012,Fund Adequacy Ratio,0.1841,0.0383,0.1841,0.1458,0.0
2012,Coverage Ratio,1.1533,25.2306,5.0,-24.0773,3.8467
2012,Claims Intensity,0.016,0.05,0.01,-0.034,0.006
2013,Fund Adequacy Ratio,0.3971,0.0531,0.3971,0.344,0.0
2013,Coverage Ratio,1.0697,23.5773,5.0,-22.5076,3.9303
2013,Claims Intensity,0.0134,0.05,0.01,-0.0366,0.0034
2014,Fund Adequacy Ratio,0.4464,0.058,0.4464,0.3884,0.0
2014,Coverage Ratio,0.9847,21.0837,5.0,-20.099,4.0153
2014,Claims Intensity,0.0111,0.05,0.01,-0.0389,0.0011
2015,Fund Adequacy Ratio,0.4727,0.0613,0.4727,0.4114,0.0
2015,Coverage Ratio,0.9513,22.2158,5.0,-21.2645,4.0487
2015,Claims Intensity,0.0094,0.05,0.01,-0.0406,-0.0006
2016,Fund Adequacy Ratio,0.588,0.0708,0.588,0.5172,0.0
2016,Coverage Ratio,0.9062,27.9651,5.0,-27.0589,4.0938
2016,Claims Intensity,0.0082,0.05,0.01,-0.0418,-0.0018
2017,Fund Adequacy Ratio,0.5966,0.0714,0.5966,0.5252,0.0
2017,Coverage Ratio,0.8304,31.3461,5.0,-30.5157,4.1696
2017,Claims Intensity,0.0086,0.05,0.01,-0.0414,-0.0014
2018,Fund Adequacy Ratio,0.5563,0.0695,0.5563,0.4868,0.0
2018,Coverage Ratio,0.8057,29.9101,5.0,-29.1044,4.1943
2018,Claims Intensity,0.0075,0.05,0.01,-0.0425,-0.0025
2019,Fund Adequacy Ratio,0.5704,0.0713,0.5704,0.4991,0.0
2019,Coverage Ratio,0.7308,26.9902,5.0,-26.2594,4.2692
2019,Claims Intensity,0.0069,0.05,0.01,-0.0431,-0.0031
2020,Fund Adequacy Ratio,0.6141,0.0726,0.6141,0.5415,0.0
2020,Coverage Ratio,0.6975,29.8564,5.0,-29.1589,4.3025
2020,Claims Intensity,0.006,0.05,0.01,-0.044,-0.004
2021,Fund Adequacy Ratio,0.5901,0.0721,0.5901,0.518,0.0
2021,Coverage Ratio,0.6034,29.1809,5.0,-28.5775,4.3966
2021,Claims Intensity,0.0054,0.05,0.01,-0.0446,-0.0046
2022,Fund Adequacy Ratio,0.5982,0.074,0.5982,0.5242,0.0
2022,Coverage Ratio,0.5375,26.0708,5.0,-25.5333,4.4625
2022,Claims Intensity,0.0047,0.05,0.01,-0.0453,-0.0053
2023,Fund Adequacy Ratio,0.464,0.0657,0.464,0.3983,0.0
2023,Coverage Ratio,0.5233,37.9434,5.0,-37.4201,4.4767
2023,Claims Intensity,0.0041,0.05,0.01,-0.0459,-0.0059
2024,Fund Adequacy Ratio,0.0902,0.0658,0.4749,0.0244,0.3847
2024,Coverage Ratio,3.5968,58.7634,5.0,-55.1666,1.4032
2024,Claims Intensity,0.0277,0.05,0.01,-0.0223,0.0177
